distance,spectrumID,i
0.9953145,spec-6696-56398-0434.fits,478
0.9937719,spec-4351-55538-0779.fits,531
0.9926345,spec-6514-56487-0016.fits,475
0.984543,spec-6692-56390-0434.fits,538
0.9823597,spec-6438-56367-0517.fits,407
0.9808517,spec-5055-55889-0453.fits,587
0.9803088,spec-6179-56221-0517.fits,136
0.9803088,spec-7255-56597-0517.fits,271
0.9803087,spec-6397-56365-0511.fits,16
0.9803086,spec-6686-56389-0434.fits,482
0.9803086,spec-6704-56388-0434.fits,458
0.9803086,spec-6644-56384-0517.fits,139
0.9803085,spec-5363-55956-0511.fits,41
0.9803085,spec-7236-56605-0517.fits,220
0.9803085,spec-6010-56097-0015.fits,294
0.9803085,spec-5428-56029-0517.fits,188
0.9803084,spec-6274-56550-0015.fits,211
0.9803084,spec-6700-56384-0434.fits,447
0.9803084,spec-5438-56002-0496.fits,181
0.9803084,spec-6485-56342-0570.fits,339
0.9803084,spec-6706-56385-0434.fits,470
0.9803084,spec-6389-56270-0517.fits,269
0.9803084,spec-6503-56564-0511.fits,54
0.9803084,spec-6707-56383-0434.fits,452
0.9803083,spec-6519-56566-0517.fits,211
0.9803083,spec-6877-56544-0517.fits,225
0.9803083,spec-7139-56568-0511.fits,181
0.9803083,spec-6683-56416-0434.fits,506
0.9803083,spec-6465-56279-0511.fits,23
0.9803083,spec-7035-56568-0517.fits,267
0.9803083,spec-5453-56001-0517.fits,150
0.9803083,spec-6518-56567-0517.fits,114
0.9803082,spec-5716-56684-0517.fits,165
0.9803082,spec-5715-56657-0517.fits,223
0.9803082,spec-6184-56267-0517.fits,227
0.9803082,spec-6517-56563-0517.fits,241
0.9803082,spec-6451-56358-0511.fits,141
0.9803082,spec-6127-56274-0517.fits,187
0.9803082,spec-6972-56426-0434.fits,490
0.9803082,spec-5887-56035-0511.fits,142
0.9803081,spec-6464-56309-0517.fits,242
0.9803081,spec-6395-56354-0511.fits,164
0.9803081,spec-4651-56008-0517.fits,276
0.9803081,spec-6275-56245-0517.fits,178
0.9803081,spec-5318-55983-0517.fits,140
0.9803081,spec-6495-56339-0570.fits,348
0.9803081,spec-6173-56238-0517.fits,167
0.9803081,spec-6186-56246-0511.fits,8
0.9803081,spec-5777-56280-0517.fits,203
0.980308,spec-5873-56035-0507.fits,56
0.980308,spec-6969-56420-0434.fits,492
0.980308,spec-5737-56381-0434.fits,453
0.9803079,spec-6206-56245-0511.fits,138
0.9803079,spec-7140-56569-0511.fits,133
0.9803078,spec-6641-56383-0517.fits,76
0.9803078,spec-7110-56746-0517.fits,204
0.9803078,spec-5122-55841-0015.fits,348
0.9803077,spec-5707-56269-0511.fits,22
0.9803076,spec-7320-56722-0993.fits,214
0.9803076,spec-6444-56339-0517.fits,170
0.9803074,spec-7235-56603-0016.fits,98
0.980307,spec-7037-56570-0517.fits,231
0.980303,spec-5779-56338-0511.fits,145
0.9802971,spec-5338-56002-0517.fits,227
0.9795655,spec-6118-56189-0511.fits,16
0.9795605,spec-5067-55751-0517.fits,61
0.9795597,spec-6446-56363-0517.fits,42
0.9795575,spec-5963-56191-0511.fits,52
0.9795538,spec-6640-56385-0517.fits,51
0.9795519,spec-7141-56565-0511.fits,32
0.9795501,spec-5378-56011-0517.fits,51
0.9739303,spec-4478-55600-0517.fits,179
0.9732569,spec-6645-56398-0511.fits,132
0.9732538,spec-5714-56660-0517.fits,286
0.9732492,spec-5362-56017-0517.fits,161
0.9732481,spec-7038-56571-0517.fits,246
0.9732458,spec-7148-56591-0038.fits,268
0.973244,spec-5153-56577-0015.fits,315
0.9732429,spec-7308-56709-0517.fits,309
0.9732426,spec-3982-55332-0507.fits,239
0.9732423,spec-7261-56603-0015.fits,208
0.9732414,spec-5418-56037-0517.fits,174
0.9732375,spec-4611-55603-0010.fits,97
0.9732373,spec-5946-56101-0035.fits,328
0.9732348,spec-6292-56566-0038.fits,97
0.9732311,spec-5698-55947-0517.fits,256
0.97323,spec-5179-55957-0517.fits,255
0.973224,spec-7044-56591-0517.fits,292
0.9719812,spec-6296-56219-0511.fits,84
0.9719561,spec-6315-56181-0511.fits,110
0.971954,spec-5408-56038-0517.fits,231
0.9681137,spec-7302-57012-0517.fits,314
0.9681134,spec-7165-56603-0517.fits,275
0.9681127,spec-4048-55602-0010.fits,136
0.9681101,spec-7397-57129-0517.fits,203
0.9681087,spec-5460-56000-0517.fits,234
0.9681074,spec-5128-55912-0517.fits,213
0.9681028,spec-5767-56245-0010.fits,276
0.9666299,spec-6931-56388-0517.fits,10
0.964248,spec-4727-55693-0035.fits,390
